uniq_id,Back End,C-suite executive,Cloud Computing,Data Scientist,Data or business analyst,Database Administrator(DBA),Designer,DevOps,Educator or academic researcher,Embedded applications or devices developer,Engineering manager,Enterprise application,Front End,Full stack,Game developer,Information Security,Mobile Developer,Network Engineer,Product Manager,QA/Test Developer,Sales professional,Software Developer/Java Developer,Student,System Administrator,Web Developer
418ff92580b270ef4e7c14f0ddfc36b4,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,
8aec88cba08d53da65ab99cf20f6f9d9,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,
46baa1f69ac07779274bcd90b85d9a72,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,
3941b2f206ae0f900c4fba4ac0b18719,,0,,,,,0,,0,0,0,0.180669760482383,0.1800057713077749,,,,,,,,0.1809903725973172,0.2846397716441987,0,0.1736943239683259,
45efa1f6bc65acc32bbbb953a1ed13b7,,0,,,,,0,1.0,0,0,0,,,,,,,,,,,,0,,
e0ac9d926dda5e95162ef05adea7318c,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,
e7e326053c586bd94e59f1fd74de4a1b,,0,,,,,0,,0,0,0,,,,,,,1.0,,,,,0,,
b0dadecf4c3c2beecb9c773ca11ecda4,0.4065231412444939,0,,,,,0,,0,0,0,,,,,,,,,,,,0,,0.5934768587555059
28f5e0c1cc3314813e674f0c32b04d1b,,0,,,,,0,,0,0,0,,1.0,,,,,,,,,,0,,
95c9127e2770172f454f3b83981eaa88,,0,,,,,0,,0,0,0,1.0,,,,,,,,,,,0,,
5e0ff38f5eaf44726f4e3d1dd257a244,,0,,,,,0,,0,0,0,,,,,,,0.6890662045106618,,0.3109337954893382,,,0,,
e4a1ff1b6c0fda5f345e57cf1acb40dd,,0,,,,,0,,0,0,0,,,,,1.0,,,,,,,0,,
d0c81a2e3e5d666f3d730f1048c49132,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
51279d060da242e3baea98b26ddd641e,0.1858547395859974,0,,,,,0,,0,0,0,0.1754808365671965,0.1748043071294495,,,,,,0.1791078201608658,,0.2847522965564906,,0,,
48b7ca0c2f6191fb48e7ecf19fbd3322,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
9e5704d08bc07ddb6df9ef98b223b036,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,
e4dceaaaaae37ca6eabb04a7d42498b4,,0,,,,,0,,0,0,0,,,,,,,,,1.0,,,0,,
7ad2eadde69e07fee0e38c1a251dd81f,,0,,,0.5854615522224642,,0,,0,0,0,,,,,0.4145384477775359,,,,,,,0,,
f3af6886ca0d133abda2ddf9b84633e4,,0,,,,,0,,0,0,0,,,,,,,,,,,,0,1.0,
e4f57bc5366124a0a47cac27f557f9ec,,0,,,,,0,,0,0,0,,0.1325719075008831,0.1264749300700494,,,,0.1272684173879656,0.1360670484256742,,,0.2156509729559045,0,0.1304103645578837,0.1315563591016391
d3073d47b79938269b22bdea4dc0b9b8,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,
c014c8569c91f22bc871940bfa4b4296,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
b7fab2d3de5e129310b382d8f51508f6,,0,,,,,0,,0,0,0,0.2267582478717397,,,,,,,,0.3351627269443935,0.220194374065809,,0,0.2178846511180578,
4868383e3f99535778f354fcb734d57c,0.2871207995670752,0,,,,,0,,0,0,0,,,,,0.286923747555691,,,,,0.4259554528772337,,0,,
81f8732626888727fcc1093b6c084839,,0,,,,,0,,0,0,0,0.276255575876267,,,,0.2928586561062035,,0.4308857680175294,,,,,0,,
cf902dc6fd702207563ed1cdc03ef05e,,0,,,,,0,,0,0,0,,,,,,,,1.0,,,,0,,
1bef3cf6259e80d18222407858ad9052,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,
72a3f0f0f24a0a78c5fac3c2376f5979,,0,,,,,0,,0,0,0,0.1533483107927022,,0.1456934607349642,,,,0.140295468847018,0.1511192633530555,0.2612140530025693,,,0,0.1483294432696905,
4a3f8742fae151757eb290a774968371,0.2147698825669576,0,,,,,0,,0,0,0,,,0.2081864342315345,,0.357967559404154,,,0.219076123797354,,,,0,,
b1db84e23f424b1481b29212749abadc,0.2846255550347876,0,,,,,0,,0,0,0,,,,,0.2905682266929368,,0.4248062182722755,,,,,0,,
51a0050d469e787dba2102383797536d,,0,,,,,0,,0,0,0,,,,,,,,,,,1.0,0,,
f2ade5d053b992593e2bdacd83a18a7f,,0,,,1.0,,0,,0,0,0,,,,,,,,,,,,0,,
2831bbdba025f87efca38b9761f26b95,0.4112857814013353,0,,,,,0,,0,0,0,,,,,,0.5887142185986648,,,,,,0,,
